ID	mz	rt	Control	17_WT_D	32_WT_ND	14_WT_ND	3_AN2_ND	33_AN2_ND	2_WT_ND	36_AN2_D	26_WT_ND	35_WT_D	6_AN2_D	18_AN2_D	27_AN2_ND	24_AN2_D	15_AN2_ND	8_WT_ND	5_WT_D
1	355.1590581	7.854322509	2345814.50	8334000.00	12161963.00	6587520.50	11293278.00	14429547.00	6615192.50	3505788.75	9050073.00	4809747.00	33908408.00	13492668.00	10027411.00	21344394.00	22632604.00	9250929.00	36740484.00
2	160.8424885	10.53962568	29040536.00	45642428.00	39228276.00	42767080.00	35448004.00	42277960.00	45962024.00	44324952.00	43276916.00	44950188.00	38863776.00	42438016.00	43293880.00	40297952.00	41341588.00	42186024.00	36946388.00
3	162.8394984	10.53891835	26240240.00	41248044.00	37118920.00	40034676.00	32885132.00	39709996.00	42967304.00	41256636.00	40224904.00	40994884.00	35929168.00	39143544.00	39853956.00	36927916.00	39239808.00	38800516.00	34125964.00
4	444.973973	5.3087296	17784872.00	19393598.00	24145688.00	23388258.00	19806544.00	25502820.00	17693904.00	23085426.00	24437070.00	22972010.00	18192180.00	15949085.00	22838480.00	22915984.00	17036664.00	17728698.00	21755754.00
5	197.8083344	10.54781491	24792506.00	39439132.00	39718100.00	37237568.00	25170254.00	44853364.00	34997400.00	39114648.00	38210832.00	38333204.00	27630520.00	34938628.00	35642840.00	36299180.00	33958708.00	37146708.00	28604180.00
6	313.1816864	6.6242318	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7	394.9768026	4.870782891	25967844.00	31879228.00	30356434.00	37611732.00	31978948.00	30936258.00	27812558.00	28606496.00	31678236.00	30949932.00	31387232.00	29714738.00	29228322.00	31657748.00	27641650.00	31438100.00	32010976.00
8	195.8113208	10.54781491	20244118.00	32180804.00	32157512.00	31004690.00	20828990.00	36377960.00	28751390.00	32755428.00	30981262.00	30946426.00	22087876.00	29420792.00	28923626.00	29524644.00	27593162.00	30219232.00	23800592.00
9	112.9859179	10.27271612	14192166.00	10401894.00	11219207.00	11150715.00	14237205.00	10245288.00	9279402.00	9578565.00	9669029.00	8593375.00	13566156.00	9052125.00	11527367.00	10559280.00	10808792.00	9269108.00	12946041.00
10	344.979809	4.407927021	38501020.00	38715176.00	26517710.00	42853224.00	46005732.00	27891004.00	27769410.00	29734274.00	34204168.00	38454724.00	51092640.00	28518682.00	35940264.00	38347004.00	26181084.00	30352256.00	34535372.00
