ID	mz	rt	Control	17_WT_D	32_WT_ND	14_WT_ND	3_AN2_ND	36_AN2_D	33_AN2_ND	2_WT_ND	35_WT_D	27_AN2_ND	26_WT_ND	18_AN2_D	6_AN2_D	24_AN2_D	15_AN2_ND	8_WT_ND	5_WT_D
1	124.0872169	2.489616368	287452288.00	306784032.00	264042288.00	299539488.00	345965728.00	341522336.00	336484000.00	359311808.00	334873184.00	359095936.00	365899008.00	362154464.00	317629056.00	320158880.00	322061408.00	366410400.00	339992064.00
2	111.0205223	10.37816262	679612928.00	573152320.00	484546464.00	580585536.00	662634752.00	482183040.00	457789856.00	574906880.00	527071712.00	525809344.00	463615840.00	568899456.00	651271488.00	547093312.00	618715840.00	577623488.00	638443584.00
3	110.0204599	10.62359241	438162848.00	432075360.00	303278240.00	414261888.00	447528288.00	282500384.00	280412832.00	406297472.00	354615872.00	344343104.00	316291936.00	415701792.00	434795552.00	355501728.00	417349632.00	445076800.00	403287904.00
4	102.0342219	10.42147182	340027968.00	318878944.00	355172416.00	373036416.00	354100960.00	340246432.00	333176352.00	318385184.00	337522528.00	359599072.00	341168672.00	322473760.00	344770400.00	363860896.00	322442464.00	333456864.00	351497696.00
5	154.9902465	10.64223559	344251808.00	284951776.00	203950080.00	266732352.00	318628544.00	187060080.00	186904768.00	272207584.00	232173536.00	230515792.00	205287520.00	283989216.00	314155072.00	231004336.00	289477568.00	302788160.00	277478400.00
6	112.0180032	10.37907282	270588160.00	230003536.00	191457952.00	237887872.00	260526720.00	191880016.00	182675632.00	225219408.00	210721120.00	212008384.00	186957504.00	226779920.00	259479024.00	217229600.00	242060752.00	231166976.00	252846080.00
7	98.51249067	10.63488294	253095728.00	216573872.00	157418144.00	207391936.00	240048016.00	145012576.00	143301040.00	208491664.00	186208208.00	187178384.00	168165760.00	212387136.00	249848864.00	186779840.00	223502336.00	231441648.00	215774000.00
8	139.9878681	10.37884521	200963840.00	147561184.00	125721592.00	140008704.00	191252000.00	121409848.00	118352176.00	154942832.00	131786064.00	142834784.00	125196912.00	148299632.00	192714816.00	142045568.00	161996784.00	150173808.00	178237840.00
9	338.3419786	8.422228347	560368000.00	207112000.00	150367120.00	180136400.00	273262272.00	337849984.00	294568256.00	292667232.00	178338256.00	242214048.00	315654880.00	189080576.00	369004544.00	401289472.00	418583776.00	326884608.00	409229376.00
10	131.5335191	10.37087109	102553312.00	115656560.00	86642000.00	109576048.00	118981920.00	85711496.00	86795200.00	109826824.00	93679136.00	93935192.00	88376784.00	109079984.00	108628744.00	96115632.00	110943920.00	109257368.00	112750056.00
11	182.9852869	10.64083882	129197784.00	113639160.00	77651064.00	111185416.00	129229672.00	70051464.00	68812744.00	108468096.00	91870584.00	91381360.00	81165528.00	113695512.00	122665200.00	91560752.00	112751968.00	121438312.00	108826752.00
12	90.52636348	10.42560829	91475912.00	78798640.00	86472560.00	88850544.00	89965168.00	86794440.00	84671600.00	78346800.00	85912944.00	89692664.00	89996296.00	76778968.00	91159424.00	96840432.00	83339776.00	79584016.00	95595224.00
13	113.9638902	10.64727741	114879872.00	87542032.00	63448588.00	79435872.00	100623504.00	55880908.00	57152096.00	83889264.00	72936640.00	70642448.00	65140584.00	85841480.00	106474720.00	72733560.00	90618728.00	93672520.00	87644632.00
14	81.52112411	10.42466565	79689568.00	70344432.00	77908000.00	80398456.00	80381616.00	75113024.00	71656784.00	71211672.00	73304064.00	81560008.00	76936280.00	72756088.00	83731872.00	80347824.00	73021088.00	76473328.00	87360960.00
15	99.51265492	10.37952832	81587512.00	56729800.00	52512952.00	56866280.00	69793592.00	52649648.00	48966008.00	59648496.00	58218972.00	59254324.00	51337272.00	57420920.00	75110240.00	62219600.00	67575616.00	57950380.00	70153160.00
