variable	mz	rt
1	355.1590581	7.854322509
2	160.8424885	10.53962568
3	162.8394984	10.53891835
4	444.973973	5.3087296
5	197.8083344	10.54781491
6	313.1816864	6.6242318
7	394.9768026	4.870782891
8	195.8113208	10.54781491
9	112.9859179	10.27271612
10	344.979809	4.407927021
11	351.1862577	7.856666306
14	199.8053616	10.54758312
15	174.956422	10.43169788
18	280.9834586	4.407935618
20	330.9805643	4.871027497
22	313.1817727	6.069315489
23	380.9776019	5.308223841
24	353.1831567	7.835160129
25	255.8228044	10.54641774
26	312.8368904	10.20314988
27	316.948476	10.28017815
28	257.8198175	10.54641815
30	248.9608933	10.27965459
33	230.9866084	3.874935521
34	383.1904916	8.303269179
35	384.9363345	10.28067956
42	685.4835533	10.24959956
43	294.9829079	3.875231824
44	451.1127252	7.824922067
45	709.4836622	10.24689725
46	371.1539904	7.855515097
51	325.1849379	10.20614371
52	311.1693084	10.20687447
56	265.1483501	6.5672432
58	187.861386	10.57473979
60	353.164405	7.854562397
61	328.8318545	10.20408835
65	297.1534731	6.567888821
66	307.8569251	10.67044626
67	453.1098158	7.804733567
69	187.09791	3.537993191
77	200.8591304	10.20125668
79	344.9797573	8.781402118
84	293.176388	5.250208479
87	421.227802	8.535531658
97	297.1534307	10.20612582
102	426.9825934	5.237499068
114	242.1765742	4.422898779
119	396.8921174	10.32415712
126	309.171389	5.346504544
129	304.9148811	10.42734476
130	403.15918	7.573261718
131	166.8333841	10.54126159
132	194.0824892	5.513834321
133	713.5148392	10.25264888
139	221.8428544	10.54801941
142	325.1849161	8.461983556
153	228.8539907	8.545795326
161	339.2005896	10.20938982
167	685.4833923	9.304529678
168	374.1327454	7.854528556
171	709.4835701	9.299178238
183	752.5519763	10.26869142
186	194.9061136	10.39066291
201	330.980615	8.803925974
204	248.9609059	0.354515286
220	327.1276148	7.307186435
221	234.8201895	8.519766341
222	381.1747362	7.951010865
244	293.1797427	8.491221224
246	316.9485581	0.354562957
254	228.854007	10.20356885
259	216.8539715	10.27130918
269	384.9365118	0.355748976
273	265.1483115	10.19574079
282	452.9241573	0.354076732
291	234.8202074	10.20542219
300	339.2005853	8.519335941
302	520.9117129	0.354799274
311	187.8612967	0.431610239
314	306.9197953	0.363641439
318	588.8995462	0.354011987
340	116.9214661	10.23413426
347	280.9834654	8.786027756
354	357.1570537	7.856004679
355	326.9040496	0.343500309
365	161.0459124	3.497021082
369	199.8513076	10.29831229
373	308.8650268	0.021960234
382	307.8568661	0.235770868
403	293.1764245	5.552851756
414	130.9925669	0.406326361
419	426.9690129	5.168409226
421	112.9859113	0.35702363
422	573.1308775	6.499605803
423	428.9637159	5.168701691
424	164.035683	3.107594221
425	637.1437235	6.616314682
426	494.956418	5.163810278
428	200.8591579	8.540941953
429	701.1565799	6.750479275
430	765.169002	6.98873915
432	627.114983	6.615980353
433	829.1819152	7.046243688
434	563.1021594	6.500608206
435	509.1179743	6.362795769
437	893.1942456	7.106198955
438	691.1276694	6.726305474
440	755.1402524	6.971698316
441	819.1530883	7.058117091
442	355.1590326	8.390092047
443	499.9853101	5.163295706
445	957.206438	7.163373838
446	883.1653261	7.115065809
447	901.1119868	7.052981353
448	837.0993214	6.980785426
451	947.1775162	7.159530691
452	965.1242447	7.111723363
453	654.134026	6.614955491
454	773.0869588	6.861985077
458	1021.218826	7.240948463
459	1029.137139	7.165264759
461	718.1466246	6.715659197
464	590.1212976	6.499275637
465	993.1189733	7.111107359
466	782.159129	6.953833041
467	929.1069715	7.047607052
469	876.9275269	5.163547
470	215.1291006	4.273317912
471	1011.190039	7.206309722
472	1057.131736	7.203797478
473	1057.131547	7.180697531
475	1085.230622	7.255283672
479	846.1715409	7.052400434
482	128.035613	0.510132309
484	1093.149166	7.20301935
486	753.4711046	10.26467537
487	910.1842511	7.114351753
492	865.0944331	6.986068719
493	1121.14365	7.249993138
494	854.9451678	5.163285475
496	367.1590227	7.75188177
501	563.1021485	6.544316363
505	656.8873472	0.360127086
506	162.839396	0.389610262
508	160.8423307	0.388737893
514	160.8424304	1.017066539
518	724.8749496	0.354285354
526	509.1176376	6.598713156
533	160.8423525	4.215533697
535	162.8394216	4.199961474
555	187.8613748	0.812281052
557	330.981282	0.424462542
561	194.9060935	8.919501388
565	311.1692162	7.349448653
566	311.169179	7.593785806
568	134.0249533	8.89412826
569	355.1590414	9.108447768
571	573.1309424	6.552987227
572	383.1905662	8.951970735
581	387.1155337	0.461054091
586	323.1176425	4.769784765
587	1075.202042	7.249954709
589	121.0297658	2.716843585
590	1121.143486	7.241113044
592	757.1372615	6.997514752
593	745.5048151	10.26465188
596	974.1965471	7.165544972
597	223.8491029	10.54966915
598	773.0868772	6.936088317
621	293.1797632	10.19996512
632	387.1154999	10.29790321
648	117.9288368	10.241672
649	294.9827196	8.760061209
650	627.1149569	6.692157412
651	701.1561653	6.957969832
665	565.0988953	6.527949897
675	144.9237567	10.21561941
676	957.2064353	7.213575934
696	117.9287975	8.396950906
698	409.312136	8.604074344
699	194.9060803	8.257184547
702	312.8368329	8.534323091
703	398.2333006	7.965859767
706	134.0250126	8.115901455
707	685.4834956	8.258604477
708	423.3280394	8.5330254
710	381.1958346	8.306208697
712	283.264826	8.323703203
713	459.3279532	8.468587157
722	394.9767935	8.8075725
726	713.5149821	8.254079646
727	765.1688783	7.047526553
728	893.1942353	7.127994945
730	384.2519269	2.970411875
735	161.9357892	8.073694603
736	216.8539549	8.359547203
744	311.1692446	8.449804415
761	233.1549025	6.356721497
769	709.4830102	8.336904823
775	451.2908872	8.332659026
777	801.082247	6.916800191
782	707.4673816	10.24686348
785	380.9775628	8.835360556
811	238.9131818	10.35945844
824	187.0977504	2.954345318
835	257.8196449	0.458897627
836	255.8225876	0.461704379
838	227.9670118	4.763951647
839	229.9647684	4.776876524
841	733.5048305	10.26664618
842	747.5196292	10.26858265
843	390.2314022	7.938317265
844	519.3218202	6.529630158
845	527.4278689	6.552913164
848	566.3481305	6.622471919
849	162.839466	0.940611351
851	719.4888758	10.27021806
858	523.4941984	6.302074813
865	1149.242741	7.305648025
870	1139.21424	7.295617353
874	815.5036948	10.25990823
876	309.1021371	4.122072321
877	581.1396839	6.506163306
881	570.5202225	6.373930845
887	571.1115541	6.490800383
898	255.8227028	4.196506116
900	257.819711	4.202933261
905	166.8333347	4.184608878
924	309.1020118	4.547630541
927	257.8197795	0.994693288
929	255.8227351	1.0147956
966	325.1849591	8.300235844
988	339.2005476	8.492369712
1005	134.0250488	3.198860891
1006	167.9861966	3.932468587
1007	169.9832292	3.923266593
1008	150.0198694	2.825277371
1009	242.0134734	2.310237113
1010	136.0291281	3.1637772
1011	135.0224132	3.194541383
1012	400.0604355	4.95110554
1013	263.0178843	2.85552584
1014	283.037528	3.638210275
1016	267.0422649	4.428632625
1017	321.0890785	4.706178036
1018	243.0780194	4.068031167
1019	295.0732344	4.242766571
1020	212.0590224	4.156068475
1023	488.9441833	6.740604
1024	242.0135171	2.994193229
1025	267.0417094	3.97635904
1026	150.0199153	2.432434135
1031	197.808172	0.429058124
1039	195.8111349	0.422632687
1048	642.4799033	10.20835965
1051	138.0199521	3.458719021
1052	199.8052109	0.426705201
1055	163.9995324	3.360825958
1056	283.0368524	4.08719716
1058	150.0199356	3.916708941
1069	447.2532413	10.30982967
1107	158.978825	10.36911524
1140	701.1562405	7.230001297
1144	901.11198	7.270791422
1145	332.076796	4.004323115
1147	819.1530957	7.224898406
1177	117.9192765	10.22472782
1178	230.9864382	10.23758653
1180	618.47942	10.22709124
1181	451.2854618	10.30063817
1183	121.0297604	0.831319897
1185	161.0458162	0.41811422
1188	829.181853	7.123282309
1196	494.9709391	10.22727288
1197	594.9649193	10.22206971
1201	423.2533148	10.27687785
1223	265.1483588	6.337428206
1224	833.5213968	10.38443869
1225	683.4678054	10.244579
1226	421.2273857	7.8874424
1227	311.1692978	6.87930865
1228	293.1797944	7.860604062
1229	297.1534375	6.376194724
1230	325.1849591	7.583445194
1232	738.5106811	10.27748313
1233	777.4705088	10.26446317
1235	526.9626783	6.089998264
1236	671.4682236	10.25415036
1242	447.2533442	10.41178039
1243	294.9826283	10.23342182
1246	279.1639442	7.010296931
1248	337.2064064	8.878499218
1249	831.5057595	10.36887307
1253	517.1270653	6.107938588
1254	1038.209069	7.205043187
1255	544.9681295	6.117456432
1257	1185.155783	7.333654756
1259	267.143912	6.304293187
1261	473.2838202	9.119384891
1262	280.983376	10.23417891
1269	241.1448843	5.217521812
1272	1102.221076	7.250000262
1273	493.963138	10.24668488
1278	321.2110967	9.220780847
1282	173.0821686	3.192800412
1289	845.4586009	10.26788817
1290	330.9805574	10.23966209
1300	321.2111186	10.22214326
1308	241.1449985	4.463409271
