variable	mz	rt
1	124.0872169	2.489616368
2	111.0205223	10.37816262
3	110.0204599	10.62359241
4	102.0342219	10.42147182
5	154.9902465	10.64223559
6	112.0180032	10.37907282
7	98.51249067	10.63488294
8	139.9878681	10.37884521
9	338.3419786	8.422228347
10	131.5335191	10.37087109
11	182.9852869	10.64083882
12	90.52636348	10.42560829
13	113.9638902	10.64727741
14	81.52112411	10.42466565
15	99.51265492	10.37952832
16	89.5072422	10.62358012
17	141.9833343	10.37793353
18	167.0128423	10.42374947
19	184.9856188	10.37816238
20	417.2985068	7.52470285
21	90.50738413	10.37907329
22	158.961403	10.72238179
23	156.9906776	10.38704506
24	102.0918552	0.460519253
25	122.5472205	10.42260676
26	461.3248789	7.522620841
27	102.1280929	10.19128144
28	199.9877176	10.71688347
29	169.977408	10.68896506
30	132.531186	10.36950491
31	172.9564344	10.55819944
32	139.01789	10.43200994
33	343.1483691	6.750690289
34	113.0168054	10.37907288
35	207.0176122	10.37702212
36	456.3695032	7.524004929
37	142.0976677	2.487474891
38	171.9930324	10.75106465
39	136.0394296	0.210455607
40	100.5103834	10.37975829
41	181.0144534	10.374289
42	321.1675088	6.764272158
43	500.3958449	7.521697059
44	505.3512003	7.521928685
45	125.9863373	10.42694897
46	186.9810165	10.37634109
47	109.0229211	10.62267641
48	141.9586725	10.65000776
49	412.3431733	7.525164559
50	97.99189161	10.43611447
51	223.9884848	10.49967668
52	91.50506109	10.37884591
53	158.9860443	10.38932147
54	327.158004	6.727591565
55	109.5220999	10.39592929
56	226.9514766	10.27419229
57	341.2673944	6.871063979
58	349.2493858	4.579204955
59	140.1183124	0.46828893
60	484.4008488	7.524477656
61	152.9950229	10.64289509
63	186.9563614	10.69858038
64	213.9829597	10.55705459
65	97.51492871	10.63440162
66	94.04555186	10.37201062
67	130.0977116	0.420065459
69	209.0129987	10.37520226
70	528.427186	7.523089171
71	174.9534311	10.55980462
72	138.9953802	10.63811382
73	145.035272	10.65804679
74	183.0099146	10.37565671
75	439.3427995	7.523311965
76	141.9587842	0.334604055
77	196.0169047	10.63555856
78	205.0172261	10.52974568
79	149.0235244	6.709379859
80	544.4222349	7.518932053
81	114.0166569	10.37725359
82	293.1543231	6.682361026
83	327.2523958	6.828319424
84	440.3744951	7.526796412
85	104.030595	10.42353556
86	100.1125639	10.20240112
87	219.0391509	0.413041287
88	355.2477292	6.811633497
90	165.9829981	10.71141906
91	385.2936118	6.888449535
93	98.01404874	10.39411206
94	549.3775653	7.518927509
95	331.2257323	6.936327024
96	277.1918553	6.528519309
97	328.3215244	7.738246406
98	399.2735948	6.812015354
99	172.1156268	6.841178609
100	279.1597236	6.704435606
101	300.2903373	7.150637812
102	141.9588164	11.48200215
103	226.0120764	10.37292356
104	173.0302099	10.62611829
105	375.2516696	6.954344259
106	130.1593023	6.773894224
108	395.3164238	7.524470988
110	215.2120605	4.219144906
112	125.0841459	2.488156768
113	130.5217137	10.6454665
114	227.9829277	10.69242512
115	180.989854	10.64543812
117	130.159276	2.665108032
118	305.1730427	6.74118787
119	311.1769559	6.291388519
120	337.1768187	5.963670918
122	315.1957351	6.541679562
123	195.9936198	10.68049556
124	133.5299561	10.37064041
125	99.53149526	10.42720521
126	250.1777987	8.430500724
129	102.5328406	10.42056062
130	315.1949677	6.139164929
132	217.0385562	0.375616392
134	127.0392418	11.43929688
135	373.2719314	7.534690215
136	702.2145195	8.566615409
137	413.2666599	8.44207215
138	195.1018614	5.681802406
140	242.2230793	4.034926444
144	319.2850928	6.874714709
148	113.964084	0.334814472
151	142.1591937	4.220404218
152	362.9266085	10.27703315
153	369.1260124	6.958786118
156	256.2638523	7.365036909
157	101.5093002	10.37793185
158	228.232555	6.718164685
159	371.2780719	6.831275935
160	101.0714891	2.485134865
161	330.3373804	5.681583335
162	333.2046856	6.640294732
163	88.50962269	10.62584965
164	297.2427815	6.757632935
165	430.91447	10.27706341
166	336.3116124	6.873249
167	179.0354658	0.370771519
168	123.0404392	10.3770235
170	220.0396203	0.874242071
172	380.3382832	6.879637703
173	572.4533512	7.520309862
174	228.1958454	8.434266326
